DateTime,LE_F_MDS,H_F_MDS,TA_F,PA_F,VPD_F,NETRAD,G_F_MDS,LAI,GPP_NT_VUT_REF,SW_IN_F,theta_2,WS_F,LW_IN_F,fPAR,PET
2000-01-01,19.570815624999998,20.027916291666667,5.081645833333334,99.678875,0.8557916666666667,39.598731916666665,0.0,0.9329715070991652,1.7720625270833334,80.14254166666667,,1.085375,291.7247916666667,0.5230844955423358,27.440970262242818
2000-01-02,28.721392895833333,16.247169312500002,4.023729166666667,100.44439583333333,1.3069374999999999,44.96856220833334,0.0,0.94325169853709,1.4210294833333332,112.60714583333333,,0.9273125000000001,273.73695833333335,0.5278424024486129,31.765449976191746
2000-01-03,26.56577310208333,16.962246416666666,5.921458333333334,100.94368750000001,2.7171041666666667,43.52801951875,0.0,0.9519069030525783,1.6219715460416666,116.06420833333334,,1.0521458333333333,274.18233333333336,0.5322152679838932,33.07666769058541
2000-01-04,19.570815624999998,20.027916291666667,6.048416666666667,100.98408333333333,1.9444791666666665,39.598731916666665,0.0,0.959522907177308,1.8545745791666668,64.60202083333333,,0.8526041666666666,297.05191666666667,0.5363056816625975,29.12053704174195
2000-01-05,28.721392895833333,16.247169312500002,6.8812500000000005,100.390875,4.22675,44.96856220833334,0.0,0.9666854974429574,1.6626090083333336,123.26527083333333,,1.6044375000000002,260.5305416666667,0.5402162329991463,36.562440071294866
2000-01-06,26.56577310208333,16.962246416666666,4.935145833333333,100.73447916666667,2.708979166666667,43.52801951875,0.0,0.9739804603812043,1.5395957625,109.077,,0.8821249999999999,278.3883333333333,0.5440495115079608,32.26872475761947
2000-01-07,19.570815624999998,20.027916291666667,6.796791666666667,100.55925,3.3402083333333334,39.598731916666665,0.0,0.9819935825237268,1.9178544833333333,109.43841666666667,,0.856375,279.45075,0.5479081067034611,29.1878213537772
2000-01-08,28.721392895833333,16.247169312500002,4.987020833333333,100.41889583333334,1.4604583333333334,44.96856220833334,0.0,0.9913106504022031,1.5026068979166667,103.3271875,,0.7737291666666667,284.0049166666667,0.5518946081000685,33.889384149652706
2000-01-09,26.56577310208333,16.962246416666666,6.206854166666666,100.380875,1.195875,43.52801951875,0.0,1.0024443542910997,1.6457842708333335,50.891124999999995,,0.7937291666666667,317.1967916666667,0.5560947273121061,32.61902659437739
2000-01-10,19.570815624999998,20.027916291666667,7.842208333333333,100.18054166666667,0.7564791666666667,39.598731916666665,0.0,1.015078309442508,2.005674222916667,48.41720833333333,,1.2021666666666666,325.97891666666663,0.5604027428226453,28.92029133931835
