Month,alpha,alpha_site,R2_train,RMSE_train,Site
3,1.5996093750000004,1.3004824218750002,0.9768257382146758,6.511551469476476,AT-Neu
4,1.3890146484375,1.3004824218750002,0.9906908155417666,7.393783296070007,AT-Neu
5,1.325583984375,1.3004824218750002,0.9846743885681036,13.396128586069922,AT-Neu
6,1.2741503906249998,1.3004824218750002,0.9920501317554528,10.248731660595537,AT-Neu
7,1.2796259765625,1.3004824218750002,0.9939615512052928,10.846281456616582,AT-Neu
8,1.2924228515625003,1.3004824218750002,0.9955951572279135,8.182575322862654,AT-Neu
9,1.3280449218750001,1.3004824218750002,0.9941103770089025,8.608942509369658,AT-Neu
10,1.4252519531250003,1.3004824218750002,0.9834913180668483,5.1023437586789955,AT-Neu
11,1.6726376953125008,1.3004824218750002,0.9605574711575575,2.9200938014690316,AT-Neu
1,1.2173642578124997,1.2157646484374998,0.9975548896524882,7.067429604744219,AU-How
2,1.237482421875,1.2157646484374998,0.9954665534733055,7.963587960527424,AU-How
3,1.2017373046874997,1.2157646484374998,0.9954712523292983,8.757723983210846,AU-How
4,1.2402509765624998,1.2157646484374998,0.9964893558689667,7.1106775656756955,AU-How
5,1.2272695312499997,1.2157646484374998,0.9949427448974528,5.855757496937261,AU-How
6,1.249294921875,1.2157646484374998,0.9900617530981666,8.73124007746785,AU-How
7,1.2556933593750002,1.2157646484374998,0.9938859894939855,4.273020862104245,AU-How
8,1.26615234375,1.2157646484374998,0.9880456970399664,5.766676621677784,AU-How
9,1.2503408203124997,1.2157646484374998,0.995931353975475,4.014778521350671,AU-How
10,1.2197636718749998,1.2157646484374998,0.9965418670927061,7.097900579680064,AU-How
11,1.2086894531249999,1.2157646484374998,0.9978250280043975,5.894413241841248,AU-How
12,1.2088124999999998,1.2157646484374998,0.9965756992558178,8.913977832213282,AU-How
1,1.2729814453125,1.4968037109375003,0.9889486590293219,12.141412777908762,AU-Tum
2,1.3412724609375002,1.4968037109375003,0.9864311129593135,11.9781333929026,AU-Tum
3,1.4103017578125003,1.4968037109375003,0.9790154247505226,11.239825205616926,AU-Tum
4,1.5022177734375006,1.4968037109375003,0.9842434707426466,6.95810218506927,AU-Tum
5,1.7654150390625012,1.4968037109375003,0.9461020028772897,12.711368153661288,AU-Tum
6,1.969918945312502,1.4968037109375003,0.988173850569286,6.677567255283404,AU-Tum
7,1.9902216796875019,1.4968037109375003,0.9877010807257973,11.137238026679778,AU-Tum
